sku,vendor_name,vendor_code,collection,fabric,colour_code,seq,title,description,image_url,price,cost,qty,shopify_status,product_type,handle
HDR-VINT-SBS-BLK-15549,HDR,HDR,VINT,SBS,BLK,15549.0,MRIDANI (ಮೃಡಾನಿ),A stunning black semi Bangalore silk saree with a dual shaded blue - purple border and a gold zari border with rudraksham motifs. The saree has a blue pallu with gold zari.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC00873_b80af141-7741-445a-9eb6-fb507784ff90.jpg,3499.00,1200.00,1,active,SAREES,hdr-vint-sbs-blk-15549
HDR-VINT-SBS-YLW-15548,HDR,HDR,VINT,SBS,YLW,15548.0,SARVASHAKTI (ಸರ್ವಶಕ್ತಿ),"A gorgeous dark yellow Kanjeevaram vintage silk saree saree with a double traditional mango zari border and a pink border. This saree has small mango buttas all over the body and a gorgeous pallu in dark pink with zari lines on it, and a contrast dark pink blouse.",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC01422_9ae31dca-6be0-4fce-963f-5fa111a3ac4b.jpg,7499.00,3200.00,0,active,SAREES,hdr-vint-sbs-ylw-15548
HDR-VINT-SBS-PNK-15547,HDR,HDR,VINT,SBS,PNK,15547.0,MENAKA (ಮೇನಕಾ),"A beautiful light pink semi Bangalore saree, highlighted with a vibrant contrast border in shades of blue, orange, and purple. It comes with an eye-catching orange pallu for a graceful finish",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC00769_621cf5ad-5869-43c2-a5b4-11fc4ca633cf.jpg,2199.00,850.00,1,active,SAREES,hdr-vint-sbs-pnk-15547
HDR-VINT-SBS-PNK-15546,HDR,HDR,VINT,SBS,PNK,15546.0,NAGAJA (ನಾಗಜಾ),"A beautiful pink semi Bangalore saree, highlighted with a vibrant contrast border in shades of blue, orange, and purple. It comes with an eye-catching purple pallu for a graceful finish",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC01336_6d81f0ba-d278-4e57-8b94-8df5b38712e2.jpg,2199.00,850.00,1,active,SAREES,hdr-vint-sbs-pnk-15546
HDR-VINT-SBS-PNK-15545,HDR,HDR,VINT,SBS,PNK,15545.0,DAKSHAYANI (ದಾಕ್ಷಾಯಣಿ),"A beautiful dual shaded pink - yellow semi Bangalore saree, highlighted with a vibrant contrast border in shades of blue, orange, and purple. It comes with an eye-catching purple pallu for a graceful finish.",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC00617_3734cf9b-03a0-4ec3-a0d6-05ee12a9c241.jpg,2199.00,850.00,0,active,SAREES,hdr-vint-sbs-pnk-15545
SMT-SHAAN-SBN-BLU-15544,SAREE MART,SMT,SHAAN,SBN,BLU,15544.0,JNANAMBIKA (ज्ञानाम्बिका),A gorgeous blue semi banarasi with a gold zari red border with rudraksham motifs. The sarees have buttas all over the body and comes with a contrast blouse.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC00175_a681753a-f1b0-4a20-a371-7b082b3c28e6.jpg,2499.00,850.00,0,draft,SAREES,smt-shaan-sbn-blu-15544
PGW-BRHM-SLK-NVY-15431,pranavgadwal,PGW,BRHM,SLK,NVY,15431.0,SADHVI (సాధ్వి),Pooja in a lovely navy blue Gadwal pure silk saree with a red and gold zari border and with a green selvedge. The saree has beautiful gold zari buttas on the body. The saree also has a woven thread temple border in red pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03761_899cbf8a-48e7-4f18-b592-5b6f327c2b2e.jpg,17999.00,8200.00,1,active,SAREES,pgw-brhm-slk-nvy-15431
PGW-BRHM-SLK-NVY-15430,pranavgadwal,PGW,BRHM,SLK,NVY,15430.0,MANGALAMAYI (మంగళమయి),Pooja is in a lovely rani pink Gadwal pure silk saree with an aqua blue and silver zari border and has beautiful silver zari buttas on the body. The saree also has a woven thread temple border in a aqua blue pallu with intricate silver zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03674_faa82bdf-adb8-4bb9-a21e-1dc314f0da7f.jpg,17999.00,8200.00,1,active,SAREES,pgw-brhm-slk-nvy-15430
PGW-BRHM-SLK-RED-15428,pranavgadwal,PGW,BRHM,SLK,RED,15428.0,KARUNAMAYI (కరుణామయి),Pooja is in a lovely red Gadwal pure silk saree with a blue and silver zari border and has beautiful silver zari buttas on the body. The saree also has a woven thread temple border in blue pallu with intricate silver zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03747_4b009430-eef3-4474-82b2-96171e04f940.jpg,17999.00,8200.00,1,active,SAREES,pgw-brhm-slk-red-15428
PGW-BRHM-SLK-BLU-15427,pranavgadwal,PGW,BRHM,SLK,BLU,15427.0,SHREEMATI (శ్రీమతి),Pooja in a lovely blue Gadwal pure silk saree with a purple and gold zari border. The saree also has a woven thread temple border and beautiful buttas on the body and a lovely purple pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC02542_824ce281-2d96-4491-8812-223526f93425.jpg,17999.00,7200.00,1,active,SAREES,pgw-brhm-slk-blu-15427
PGW-BRHM-SLK-GRN-15425,pranavgadwal,PGW,BRHM,SLK,GRN,15425.0,SATYAVRATA (సత్యవ్రత),Pooja is in a lovely green Gadwal pure silk saree with a blue and silver zari border and has a small pink selvedge. The saree has beautiful silver zari buttas on the body and a woven thread temple border in a blue pallu with intricate silver zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03534_c177b7dc-aa38-4394-836c-49bbb502ec51.jpg,17999.00,8000.00,1,active,SAREES,pgw-brhm-slk-grn-15425
PGW-BRHM-SLK-BLU-15424,pranavgadwal,PGW,BRHM,SLK,BLU,15424.0,ADITIPRIYA (అదితిప్రియ),Pooja in a lovely lavender Gadwal pure silk saree with a parrot green and gold zari border and beautiful gold zari buttas on the body. The saree also has a woven thread temple border and a parrot green pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC03119_ea220e97-c84e-4ab5-9c44-0669634b1559.jpg,17999.00,8000.00,1,active,SAREES,pgw-brhm-slk-blu-15424
PGW-BRHM-SLK-GRY-15423,pranavgadwal,PGW,BRHM,SLK,GRY,15423.0,AMRITALATA (అమృతలత),Pooja is in a lovely grey Gadwal pure silk saree with a purple and silver zari border. The saree has beautiful silver zari buttas on the body and a woven thread temple border in a purple pallu with intricate silver zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03350_0d5d73cd-dc6f-4caa-b4d8-e74cfa9e1285.jpg,17999.00,8000.00,1,active,SAREES,pgw-brhm-slk-gry-15423
PGW-BRHM-SLK-GRN-15421,pranavgadwal,PGW,BRHM,SLK,GRN,15421.0,VAIDEHIKA (వైదేహిక),Pooja is in a lovely parrot green Gadwal pure silk saree with a pink and gold zari border. The saree has beautiful gold zari buttas on the body and a woven thread temple border in a pink pallu with intricate silver zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03220_3be5cf0b-7c88-41ad-b8ea-20dd1a7a4606.jpg,11999.00,5500.00,1,active,SAREES,pgw-brhm-slk-grn-15421
PGW-BRHM-SLK-VIO-15420,pranavgadwal,PGW,BRHM,SLK,VIO,15420.0,EKANAYAKI (ఏకనాయకి),Pooja in a lovely royal blue Gadwal pure silk saree with a red and gold zari border and beautiful gold zari buttas on the body. The saree also has a woven thread temple border and a red pallu with intricate gold zari detailing,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03256_50da5c2c-f8d3-4114-9575-ce2561258cc3.jpg,11999.00,5500.00,1,active,SAREES,pgw-brhm-slk-vio-15420
PGW-BRHM-SLK-VIO-15419,pranavgadwal,PGW,BRHM,SLK,VIO,15419.0,GUNAVATI (గుణవతి),Pooja is in a lovely red Gadwal pure silk saree with an aqua blue and gold zari border and has beautiful gold zari buttas on the body. The saree also has a woven thread temple border in an aqua blue pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03516_cbb19ff8-9211-45d2-98fb-652773470f1f.jpg,17999.00,7800.00,0,active,SAREES,pgw-brhm-slk-vio-15419
PGW-BRHM-SLK-BLU-15418,pranavgadwal,PGW,BRHM,SLK,BLU,15418.0,PGW-BRHM-SLK-BLU-15418,Pooja in a lovely blue Gadwal pure silk saree with a reddish orange and gold zari border. The saree also has a woven thread temple border and beautiful buttas on the body and a lovely red pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC03001_ba9d5ebd-4a2a-4f17-95f0-b3d646991e91.jpg,19999.00,8000.00,1,draft,SAREES,pgw-brhm-slk-blu-15418
PGW-BRHM-SLK-BLU-15417,pranavgadwal,PGW,BRHM,SLK,BLU,15417.0,KALYANI (కల్యాణి),Pooja in a lovely lavender Gadwal pure silk saree with a parrot green and gold zari border and beautiful gold zari buttas on the body. The saree also has a woven thread temple border and a parrot green pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03499_691c48b2-6772-4e14-a529-f404f4dd0fa5.jpg,19999.00,8200.00,1,active,SAREES,pgw-brhm-slk-blu-15417
PGW-BRHM-SLK-GRN-15414,pranavgadwal,PGW,BRHM,SLK,GRN,15414.0,KOMALANGI (కోమలాంగి),Pooja in a lovely chequered parrot green Gadwal pure silk saree with a navy blue and gold zari border. The saree also has a woven thread temple border and beautiful buttas on the body and a lovely navy blue pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03394_a59d2a98-a8cc-45c4-a0d2-40b83c816744.jpg,17999.00,8000.00,1,active,SAREES,pgw-brhm-slk-grn-15414
PGW-BRHM-SLK-GRN-15412,pranavgadwal,PGW,BRHM,SLK,GRN,15412.0,PGW-BRHM-SLK-GRN-15412,Pooja in a lovely parrot green handwoven Gadwal pure silk saree with a purple and gold zari border and beautiful gold zari buttas on the body. The saree also has a woven thread temple border and a purple pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC02985_815e4b35-6061-448e-a040-1ab624a3954a.jpg,27999.00,12000.00,1,draft,SAREES,pgw-brhm-slk-grn-15412
PGW-BRHM-SLK-BLK-15411,pranavgadwal,PGW,BRHM,SLK,BLK,15411.0,SARVESHWARI (సర్వేశ్వరి),Pooja in a lovely black Gadwal pure silk saree with a red and gold zari border and beautiful gold zari buttas on the body. The saree also has a woven thread temple border in red and a red pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC02465_d6af143b-ae65-43ce-a25b-a3c9883bef23.jpg,11999.00,5500.00,1,active,SAREES,pgw-brhm-slk-blk-15411
PGW-BRHM-SLK-NVY-15410,pranavgadwal,PGW,BRHM,SLK,NVY,15410.0,ANNAPURNIKA (అన్నపూర్ణిక),Pooja in a lovely navy bluechequered handwoven Gadwal pure silk saree with a red and gold zari border and beautiful gold zari buttas on the body. The saree also has a woven thread temple border and a red pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03321_54947a38-1c7c-4887-852f-d74f895ca790.jpg,27999.00,12000.00,1,active,SAREES,pgw-brhm-slk-nvy-15410
PGW-BRHM-SLK-PNK-15409,pranavgadwal,PGW,BRHM,SLK,PNK,15409.0,VIMALASHRI (విమలశ్రీ),Pooja in a lovely pink handwoven Gadwal pure silk saree with a teal and gold zari border. The saree also has a woven thread temple border and beautiful buttas on the body and a lovely teal pallu with intricate gold zari detailing.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03356_4d9c1707-d9eb-4339-afe8-a67ea436ad9c.jpg,27999.00,12000.00,1,active,SAREES,pgw-brhm-slk-pnk-15409
PGW-BRHM-SLK-YLW-15408,pranavgadwal,PGW,BRHM,SLK,YLW,15408.0,ARULMAYI (అరుళ్మయి),Pooja in a lovely cream handwoven Gadwal pure silk saree with a brown and gold zari border and beautiful gold zari buttas on the body. The saree also has a woven thread temple border and a brown pallu with intricate gold zari detailing,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/NRG03280_98d19e4a-a2a1-4c25-bb9c-3c6632a9405c.jpg,27999.00,12000.00,1,active,SAREES,pgw-brhm-slk-ylw-15408
